promise_id,party,year,page_number,manifesto_section,promise_text
BJP_2019_0001,BJP,2019,0,Defence & Security,We will firmly continue our policy of ‘Zero Tolerance’ against terrorism and extremism.
BJP_2019_0002,BJP,2019,0,Defence & Security,We will continue to follow our policy of giving a free hand to our security forces in combating terrorism.
BJP_2019_0003,BJP,2019,0,Defence & Security,We will speed up the purchases of outstanding defense related equipments and weapons.
BJP_2019_0004,BJP,2019,0,Defence & Security,We will continue to take focused steps to strengthen the strike capability of the Armed Forces.
BJP_2019_0005,BJP,2019,0,Defence & Security,We are committed to focus on 'Make in India in Defence' to enable indigenous production of defence equipment.
BJP_2019_0006,BJP,2019,0,Defence & Security,We promise to create a more effective framework for the resettlement of our Armed Forces veterans.
BJP_2019_0007,BJP,2019,0,Defence & Security,The Armed Forces will start planning for the resettlement of soldiers three years before their retirement and in accordance with their preferences.
BJP_2019_0008,BJP,2019,0,Labour & Employment,"We will provide provision for skills training, soft skills training, financial support for higher education, housing, and starting an enterprise for Armed Forces veterans."
BJP_2019_0009,BJP,2019,0,Defence & Security,We will provide assistance to the states to upgrade their police forces through the ‘Scheme for Modernization of Police Forces’.
BJP_2019_0010,BJP,2019,0,Governance & Anti-Corruption,We will encourage expedited police reforms in the states so as to enable the State police forces to deal with new types of crimes like cyber crime and help them to be more sensitive to the citizens.
BJP_2019_0011,BJP,2019,0,Defence & Security,We will continue to take forward the process of modernizing the Central Armed Police Forces to further increase their capacity and readiness.
BJP_2019_0012,BJP,2019,0,Governance & Anti-Corruption,We will expedite the National Register of Citizens process in these areas on priority.
BJP_2019_0013,BJP,2019,0,Foreign Policy,In future we will implement the NRC in a phased manner in other parts of the country.
BJP_2019_0014,BJP,2019,0,Defence & Security,We will continue to undertake effective steps to prevent illegal immigration in the North Eastern states.
BJP_2019_0015,BJP,2019,0,Defence & Security,We will further strengthen our border security.
BJP_2019_0016,BJP,2019,0,Defence & Security,We will implement the pilot project on the use of technology to strengthen border security (Smart Fencing) on all borders.
BJP_2019_0017,BJP,2019,0,Infrastructure,We will focus on creation of developmental and other necessary infrastructure in border areas.
BJP_2019_0018,BJP,2019,0,Infrastructure,We will further ease the movement of goods and people by constructing 14 more integrated check-posts by 2024.
BJP_2019_0019,BJP,2019,0,Defence & Security,We will continue to take steps for ensuring security of India’s long coastline.
BJP_2019_0020,BJP,2019,0,Foreign Policy,We are committed to the enactment of the Citizenship Amendment Bill for the protection of individuals of religious minority communities from neighbouring countries escaping persecution.
BJP_2019_0021,BJP,2019,0,Social Justice & Minorities,"Hindus, Jains, Buddhists, Sikhs and Christians escaping persecution from India’s neighbouring countries will be given citizenship in India."
BJP_2019_0022,BJP,2019,0,Defence & Security,We are committed to taking necessary and effective steps against left wing extremism to eliminate this menace in the next five years.
BJP_2019_0023,BJP,2019,0,Rural Development,We will continue to make efforts in the direction of development of economic and social infrastructure in the tribal areas affected by left wing extremism.
BJP_2019_0024,BJP,2019,0,Governance & Anti-Corruption,We are committed to overcome all obstacles that come in the way of development and provide adequate financial resources to all the regions of the state of Jammu & Kashmir.
BJP_2019_0025,BJP,2019,0,Foreign Policy,We will abrogate Article 370.
BJP_2019_0026,BJP,2019,0,Foreign Policy,We are committed to annulling Article 35A of the Constitution of India.
BJP_2019_0027,BJP,2019,0,Governance & Anti-Corruption,We will take all steps to ensure a safe and peaceful environment for all residents of the state of Jammu & Kashmir.
BJP_2019_0028,BJP,2019,0,Social Justice & Minorities,We will make all efforts to ensure the safe return of Kashmiri Pandits.
BJP_2019_0029,BJP,2019,0,Foreign Policy,"We will provide financial assistance for the resettlement of refugees from West Pakistan, Pakistan occupied Jammu and Kashmir (POJK) and Chhamb."
BJP_2019_0030,BJP,2019,0,Rural Development,We will make all efforts to achieve the goal of doubling farmers’ income by 2022.
BJP_2019_0031,BJP,2019,0,Agriculture,We will provide short-term new agriculture loans up to Rs. 1 lakh at a 0% interest rate for 1-5 years on the condition of prompt repayment of the principal amount.
BJP_2019_0032,BJP,2019,0,Rural Development,We will launch a pension scheme for all small and marginal farmers in the country so as to ensure social security to them on reaching 60 years of age.
BJP_2019_0033,BJP,2019,0,Rural Development,We will make enrolment of farmers under the Pradhan Mantri Fasal Bima Yojana voluntary.
BJP_2019_0034,BJP,2019,0,Rural Development,We will further expand the coverage of the Pradhan Mantri Kisan Samman Nidhi Yojana to all the farmers in the country.
BJP_2019_0035,BJP,2019,0,Agriculture,We will ensure timely availability of improved seeds of promising varieties at affordable rates with doorstep testing facilities.
BJP_2019_0036,BJP,2019,0,Agriculture,We are committed to making an investment of Rs. 25 lakh crore to improve the productivity of the farm sector.
BJP_2019_0037,BJP,2019,0,Agriculture,We will work towards reducing all agricultural imports and institute a predictable export and import policy with a built-in mechanism for encouraging exports and discouraging imports.
BJP_2019_0038,BJP,2019,0,Rural Development,We will build an efficient storage and transport mechanism for agriculture produce.
BJP_2019_0039,BJP,2019,0,Rural Development,We will roll out a new Village Storage Scheme of agri-produce.
BJP_2019_0040,BJP,2019,0,Rural Development,We will provide farmers with loans at cheaper rates on the basis of storage receipt of the agri-produce.
