promise_id,party,year,page_number,manifesto_section,promise_text
INC_2024_0001,INC,2024,0,SC/ST/OBC,Congress will conduct a nation-wide Socio-Economic and Caste Census to enumerate the castes and sub-castes and their socio-economic conditions.
INC_2024_0002,INC,2024,0,SC/ST/OBC,"The Congress guarantees that it will pass a constitutional amendment to raise the 50 per cent cap on reservations for SC, ST and OBC."
INC_2024_0003,INC,2024,0,Social Justice & Minorities,The reservation of 10 per cent in jobs and educational institutions for Economically Weaker Sections(EWS) will be implemented for all castes and communities without discrimination.
INC_2024_0004,INC,2024,0,SC/ST/OBC,"We will fill all the backlog vacancies in posts reserved for SC, ST and OBC within a period of one year."
INC_2024_0005,INC,2024,0,Labour & Employment,Congress will abolish the contractualisation of regular jobs in the government and public sector enterprises and ensure regularisation of such appointments.
INC_2024_0006,INC,2024,0,Labour & Employment,"We will enhance institutional credit to SC and ST for home-building, starting businesses and purchasing assets."
INC_2024_0007,INC,2024,0,Rural Development,Congress will establish an authority to monitor the distribution to the poor of government land and surplus land under the land ceiling Acts.
INC_2024_0008,INC,2024,0,Governance & Anti-Corruption,The scope of the Public Procurement Policy will be expanded to award more public works contracts to contractors belonging to the SC and ST communities.
INC_2024_0009,INC,2024,0,Social Justice & Minorities,"Funds for scholarships for OBC, SC and ST students will be doubled, especially for higher education."
INC_2024_0010,INC,2024,0,Social Justice & Minorities,We will aid SC and ST students to study abroad.
INC_2024_0011,INC,2024,0,Education,We will double the number of scholarships for them to pursue a Ph.D.
INC_2024_0012,INC,2024,0,Social Justice & Minorities,"Congress will establish a network of residential schools for the poor, especially SC and ST students, and extend them to every block."
INC_2024_0013,INC,2024,0,Social Justice & Minorities,We will include in the curriculum of schools the life and work of social reformers to spread the message of social justice.
INC_2024_0014,INC,2024,0,Social Justice & Minorities,We will establish Ambedkar Bhavans-cum-Libraries in every district to promote the habit of reading and discussion.
INC_2024_0015,INC,2024,0,Social Justice & Minorities,"We will enact a law with reference to Article 15(5) of the Constitution to provide for reservation in private educational institutions for SC, ST and OBC."
INC_2024_0016,INC,2024,0,SC/ST/OBC,We will pass a law authorising allocation of resources for the Scheduled Caste Sub Plan and Tribal Sub Plan within the annual budget and monitoring the execution of the plans.
INC_2024_0017,INC,2024,0,Social Justice & Minorities,Congress will end the evil of manual scavenging.
INC_2024_0018,INC,2024,0,Social Justice & Minorities,"Every manual scavenger will be rehabilitated, re-skilled, provided a job and assured a life of dignity and safety."
INC_2024_0019,INC,2024,0,Social Justice & Minorities,"The Prohibition of Manual Scavenging Act, 2013, will be strictly implemented."
INC_2024_0020,INC,2024,0,Governance & Anti-Corruption,Any person employing anyone for manual scavenging shall be punished.
INC_2024_0021,INC,2024,0,Governance & Anti-Corruption,We will provide compensation of ₹30 lakh to families of sanitation workers(safai karamcharis) deceased while at work.
INC_2024_0022,INC,2024,0,Infrastructure,"We will allocate sufficient funds to enable the procurement of machines that will clean sewers and septic tanks, and remove human waste."
INC_2024_0023,INC,2024,0,Health,Free insurance will be provided to all sanitation workers.
INC_2024_0024,INC,2024,0,SC/ST/OBC,"The Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act, 1989 will be enforced diligently."
INC_2024_0025,INC,2024,0,Governance & Anti-Corruption,A helpline will be established in every State’s capital.
INC_2024_0026,INC,2024,0,Social Justice & Minorities,Legal aid and paralegal support will be provided to the victims of such atrocities.
INC_2024_0027,INC,2024,0,SC/ST/OBC,Congress is committed to notify as ‘Scheduled Area’ all habitations or groups of habitations where ST are the largest social group outside the present Scheduled Areas in all States and Union Territories.
INC_2024_0028,INC,2024,0,Energy & Environment,"A national mission will be set up for effective implementation of the Forest Rights Act, 2006 through a dedicated FRA division, a separate budget and action plans."
INC_2024_0029,INC,2024,0,Rural Development,The Congress will ensure settlement of all pending FRA claims within 1 year.
INC_2024_0030,INC,2024,0,Governance & Anti-Corruption,The Congress will establish a process for review of all rejected claims within 6 months.
INC_2024_0031,INC,2024,0,Rural Development,"Congress is committed to ensure that states enact laws in conformity with the framework of the central Panchayats(Extension to Scheduled Areas) Act, 1996 (PESA) to establish'Village Council’ and'Autonomous District Council’ as envisaged in PESA."
INC_2024_0032,INC,2024,0,Social Justice & Minorities,We will enact the Rohith Vemula Act to address discrimination faced by students belonging to the backward and oppressed communities in educational institutions.
INC_2024_0033,INC,2024,0,Governance & Anti-Corruption,We will implement the recommendations of the Renke Commission.
INC_2024_0034,INC,2024,0,Social Justice & Minorities,We will provide free education for children belonging to the Nomadic Tribes and De-notified Tribes.
INC_2024_0035,INC,2024,0,Social Justice & Minorities,"Congress will establish a Diversity Commission that will measure, monitor and promote diversity in public and private employment and education."
INC_2024_0036,INC,2024,0,Social Justice & Minorities,"We will respect and uphold the fundamental right to practice one’s faith and the rights guaranteed to religious minorities under Articles 15, 16, 25, 26, 28, 29 and 30 of the Constitution."
INC_2024_0037,INC,2024,0,Social Justice & Minorities,"We will also respect and uphold the rights of linguistic minorities guaranteed under Articles 15, 16, 29 and 30 of the Constitution."
INC_2024_0038,INC,2024,0,Social Justice & Minorities,"We will encourage and assist students and youth belonging to the minorities to take full advantage of the growing opportunities in education, employment, business, services, sports, arts and other fields."
INC_2024_0039,INC,2024,0,Social Justice & Minorities,We will restore the Maulana Azad Scholarships for study abroad.
INC_2024_0040,INC,2024,0,Education,We will increase the number of scholarships.
INC_2024_0041,INC,2024,0,Labour & Employment,We will ensure that banks will provide institutional credit to minorities without discrimination.
INC_2024_0042,INC,2024,0,Social Justice & Minorities,"We will ensure that the minorities receive their fair share of opportunities in education, healthcare, public employment, public works contracts, skill development, sports and cultural activities without discrimination."
INC_2024_0043,INC,2024,0,Social Justice & Minorities,"Congress will ensure that, like every citizen, minorities have the freedom of choice of dress, food, language and personal laws."
INC_2024_0044,INC,2024,0,Social Justice & Minorities,We will encourage reform of personal laws.
INC_2024_0045,INC,2024,0,Social Justice & Minorities,Congress promises to meet long standing demands for inclusion of more languages in the Eighth Schedule of the Constitution.
INC_2024_0046,INC,2024,0,Social Justice & Minorities,"The central government’s contribution to pensions for senior citizens, widows and persons with disabilities under the National Social Assistance Programme remains a pitiful ₹200- ₹500 per month."
INC_2024_0047,INC,2024,0,Labour & Employment,"Congress will raise this amount to ₹1,000 per month."
INC_2024_0048,INC,2024,0,Social Justice & Minorities,"We will take measures to ensure easy access to legal services for senior citizens especially in cases of neglect, abuse, abandonment, eviction and financial fraud."
INC_2024_0049,INC,2024,0,Social Justice & Minorities,"Congress will review the Maintenance and Welfare of Parents and Senior Citizens Act, 2007, remove the deficiencies and enforce the Act."
INC_2024_0050,INC,2024,0,Women & Child Development,We will restore travel concessions in public transport (rail and road) for senior citizens.
